plant_id,image_path,source,source_page,source_file_url,downloaded_file_url,title,author,license,license_url,reviewed_status
PLANT-0037,/images/plants/local/plant-0037-local-gallery-02.png,Local Flora image folder,,,,Pycnanthemum muticum local photo 1,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0037,/images/plants/local/plant-0037-local-gallery-03.jpg,Local Flora image folder,,,,Pycnanthemum muticum V-120 local photo 1,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0037,/images/plants/local/plant-0037-local-gallery-04.png,Local Flora image folder,,,,Pycnanthemum muticum local photo 2,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0037,/images/plants/local/plant-0037-local-gallery-05.jpg,Local Flora image folder,,,,Pycnanthemum muticum local photo 3,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0081,/images/plants/local/plant-0081-local-gallery-02.png,Local Flora image folder,,,,Mentha x piperita local photo 1,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0081,/images/plants/local/plant-0081-local-gallery-03.png,Local Flora image folder,,,,Mentha x piperita local photo 2,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0035,/images/plants/local/plant-0035-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\1 Левізія Elise Mix V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\1 Левізія Elise Mix V-120.jpg,,Левізія 'Elise Mix' - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,operator_approved_for_storefront
PLANT-0069,/images/plants/local/plant-0069-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\2 Едельвейс альпійський V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\2 Едельвейс альпійський V-120.jpg,,Едельвейс альпійський - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,not_in_public_products_stock_hold
PLANT-0009,/images/plants/local/plant-0009-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Ехінацея пурпурова V-120 .jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Ехінацея пурпурова V-120 .jpg,/images/plants/local/plant-0009-format-01.jpg,Ехінацея пурпурова V-120,Flora & Aroma local file,operator_supplied,,operator_approved_for_storefront
PLANT-0077,/images/plants/local/plant-0077-format-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\4 Орегано звичайне V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\4 Орегано звичайне V-120.jpg,,Орегано звичайне - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0051,/images/plants/local/plant-0051-format-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\5 Каламінта котовникова V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\5 Каламінта котовникова V-120.jpg,,Каламінта котовникова - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
